financial_year,council,Population,kerbside_organics_collected_tonnes
2020-2021,Ballarat City Council,111361,10253.59
2020-2021,Banyule City Council,136188,12185.0
2020-2021,Bass Coast Shire Council,37445,11899.0
2020-2021,Baw Baw Shire Council,54884,7205.83
2020-2021,Bayside City Council,107541,14105.0
2020-2021,Benalla Rural City Council,14137,1998.28
2020-2021,Brimbank City Council,208247,15526.0
2020-2021,Campaspe Shire Council,37675,3504.0
2020-2021,Cardinia Shire Council,116193,10194.92
2020-2021,Casey City Council,364600,40342.3
2020-2021,Central Goldfields Shire Council,12995,656.84
2020-2021,Colac Otway Shire Council,21000,3327.0
2020-2021,Corangamite Shire Council,16140,2180.0
2020-2021,Darebin City Council,173386,18684.88
2020-2021,East Gippsland Shire Council,47000,4997.2
2020-2021,Frankston City Council,144031,17615.0
2020-2021,Gannawarra Shire Council,10459,565.0
2020-2021,Glen Eira City Council,158216,14862.96
2020-2021,Greater Bendigo City Council,92379,14800.0
2020-2021,Greater Dandenong City Council,175000,15445.0
2020-2021,Greater Geelong City Council,264866,39633.0
2020-2021,Greater Shepparton City Council,65593,8505.74
2020-2021,Hobsons Bay City Council,100359,14735.0
2020-2021,Hume City Council,241188,12630.0
2020-2021,Indigo Shire Council,15995,2838.0
2020-2021,Kingston City Council,164129,20068.0
2020-2021,Knox City Council,165147,18689.46
2020-2021,Latrobe City Council,74000,10458.0
2020-2021,Macedon Ranges Shire Council,51851,8504.0
2020-2021,Manningham City Council,128929,16255.66
2020-2021,Maroondah City Council,119401,15848.0
2020-2021,Melbourne City Council,187000,28.9
2020-2021,Melton City Council,185471,11176.0
2020-2021,Merri-Bek City Council,185000,13052.14
2020-2021,Mildura Rural City Council,53878,11553.21
2020-2021,Moira Shire Council,30000,3711.0
2020-2021,Monash City Council,202847,24690.0
2020-2021,Moonee Valley City Council,131753,9100.0
2020-2021,Moorabool Shire Council,35293,1509.18
2020-2021,Mornington Peninsula Shire Council,168134,18168.75
2020-2021,Moyne Shire Council,16693,2464.98
2020-2021,Nillumbik Shire Council,65219,10901.0
2020-2021,Pyrenees Shire Council,7238,25.0
2020-2021,South Gippsland Shire Council,29914,2633.64
2020-2021,Southern Grampians Shire Council,16134,2389.0
2020-2021,Stonnington City Council,123031,4439.0
2020-2021,Strathbogie Shire Council,10992,1681.32
2020-2021,Surf Coast Shire Council,34230,5754.0
2020-2021,Swan Hill Rural City Council,20682,436.0
2020-2021,Wangaratta Rural City Council,29179,5712.0
2020-2021,Warrnambool City Council,35500,6278.8
2020-2021,Whitehorse City Council,180735,16276.0
2020-2021,Whittlesea City Council,236539,19076.0
2020-2021,Wodonga City Council,42662,9296.0
2020-2021,Wyndham City Council,302650,13001.0
2020-2021,Yarra Ranges Shire Council,159955,15401.0
